date,bullish,neutral,bearish,spread
12-31-97,34.0%,35.0%,31.0%,0.03
1-8-98,42.0%,40.0%,18.0%,0.24
1-16-98,38.0%,45.0%,17.0%,0.21
1-23-98,31.0%,39.0%,30.0%,0.01
1-30-98,38.0%,42.0%,20.0%,0.18
2-5-98,30.0%,45.0%,25.0%,0.05
2-12-98,45.0%,36.0%,19.0%,0.26
2-19-98,42.0%,43.0%,15.0%,0.27
2-26-98,53.0%,33.0%,14.0%,0.39
3-5-98,53.0%,34.0%,13.0%,0.4
3-12-98,44.0%,36.0%,20.0%,0.24
3-19-98,40.0%,38.0%,22.0%,0.18
3-26-98,45.0%,35.0%,20.0%,0.25
4-2-98,46.0%,32.0%,22.0%,0.24
4-9-98,41.0%,36.0%,23.0%,0.18
4-16-98,53.0%,32.0%,15.0%,0.38
4-23-98,40.0%,38.0%,22.0%,0.18
4-30-98,44.0%,31.0%,25.0%,0.19
5-7-98,43.0%,34.0%,23.0%,0.2
5-14-98,33.0%,41.0%,26.0%,0.07
5-21-98,38.0%,39.0%,23.0%,0.15
5-28-98,34.0%,40.0%,26.0%,0.08
6-4-98,25.0%,44.0%,31.0%,-0.06
6-11-98,27.0%,49.0%,24.0%,0.03
6-18-98,29.0%,38.0%,33.0%,-0.04
6-25-98,28.0%,44.0%,28.0%,0
7-2-98,33.0%,48.0%,19.0%,0.14
7-9-98,36.0%,44.0%,20.0%,0.16
7-16-98,35.0%,44.0%,21.0%,0.14
7-23-98,37.0%,39.0%,24.0%,0.13
7-30-98,44.0%,36.0%,20.0%,0.24
8-6-98,30.0%,44.0%,26.0%,0.04
8-13-98,27.0%,38.0%,35.0%,-0.08
8-20-98,25.0%,42.0%,33.0%,-0.08
8-27-98,23.0%,32.0%,45.0%,-0.22
9-3-98,23.0%,37.0%,40.0%,-0.17
9-10-98,29.0%,31.0%,40.0%,-0.11
9-17-98,34.0%,35.0%,31.0%,0.03
9-24-98,34.0%,38.0%,28.0%,0.06
10-1-98,32.0%,35.0%,33.0%,-0.01
10-8-98,25.0%,43.0%,32.0%,-0.07
10-15-98,25.0%,34.0%,41.0%,-0.16
10-22-98,32.0%,35.0%,33.0%,-0.01
10-29-98,43.0%,36.0%,21.0%,0.22
11-5-98,38.0%,42.0%,20.0%,0.18
11-12-98,50.0%,36.0%,14.0%,0.36
11-19-98,40.0%,42.0%,18.0%,0.22
11-25-98,48.0%,35.0%,17.0%,0.31
12-3-98,49.0%,30.0%,21.0%,0.28
12-10-98,44.0%,30.0%,26.0%,0.18
12-17-98,41.0%,34.0%,25.0%,0.16
12-23-98,34.0%,34.0%,32.0%,0.02
12-31-98,41.0%,37.0%,22.0%,0.19
1-7-99,38.0%,39.0%,23.0%,0.15
1-14-99,51.0%,28.0%,21.0%,0.3
1-21-99,56.0%,24.0%,20.0%,0.36
1-28-99,47.0%,33.0%,20.0%,0.27
2-4-99,48.0%,38.0%,14.0%,0.34
2-11-99,48.0%,35.0%,17.0%,0.31
2-18-99,37.0%,39.0%,24.0%,0.13
2-25-99,37.0%,39.0%,24.0%,0.13
3-4-99,36.0%,45.0%,19.0%,0.17
3-11-99,37.0%,42.0%,21.0%,0.16
3-18-99,48.0%,31.0%,21.0%,0.27
3-25-99,38.0%,33.0%,29.0%,0.09
4-1-99,40.0%,35.0%,25.0%,0.15
4-8-99,36.0%,38.0%,26.0%,0.1
4-15-99,41.0%,31.0%,28.0%,0.13
4-22-99,38.0%,32.0%,30.0%,0.08
4-29-99,41.0%,32.0%,27.0%,0.14
5-6-99,54.0%,32.0%,14.0%,0.4
5-13-99,43.0%,31.0%,26.0%,0.17
5-20-99,43.0%,31.0%,26.0%,0.17
5-27-99,38.0%,42.0%,20.0%,0.18
6-3-99,32.0%,36.0%,32.0%,0
6-10-99,32.0%,40.0%,28.0%,0.04
6-17-99,38.0%,35.0%,27.0%,0.11
6-24-99,30.0%,39.0%,31.0%,-0.01
7-1-99,35.0%,38.0%,27.0%,0.08
7-8-99,43.0%,36.0%,21.0%,0.22
7-15-99,54.0%,28.0%,18.0%,0.36
7-22-99,55.0%,23.0%,22.0%,0.33
7-29-99,42.0%,38.0%,20.0%,0.22
8-5-99,30.0%,46.0%,24.0%,0.06
8-12-99,30.0%,40.0%,30.0%,0
8-19-99,31.0%,46.0%,23.0%,0.08
8-26-99,35.0%,40.0%,25.0%,0.1
9-2-99,44.0%,38.0%,18.0%,0.26
9-9-99,37.0%,38.0%,25.0%,0.12
9-16-99,36.0%,43.0%,21.0%,0.15
9-23-99,36.0%,36.0%,28.0%,0.08
9-30-99,35.0%,42.0%,23.0%,0.12
10-7-99,34.0%,38.0%,28.0%,0.06
10-14-99,42.0%,39.0%,19.0%,0.23
10-21-99,38.0%,37.0%,25.0%,0.13
10-28-99,38.0%,38.0%,24.0%,0.14
11-4-99,43.0%,35.0%,22.0%,0.21
11-11-99,48.0%,26.0%,26.0%,0.22
11-18-99,46.0%,32.0%,22.0%,0.24
11-24-99,55.0%,28.0%,17.0%,0.38
12-2-99,62.0%,25.0%,13.0%,0.49
12-9-99,62.0%,27.0%,11.0%,0.51
12-16-99,54.0%,26.0%,20.0%,0.34
12-23-99,52.0%,31.0%,17.0%,0.35
12-30-99,60.0%,25.0%,15.0%,0.45
1-6-00,75.0%,11.7%,13.3%,0.6167
1-13-00,59.3%,22.2%,18.5%,0.4074
1-20-00,57.1%,25.0%,17.9%,0.3928
1-27-00,53.7%,25.9%,20.4%,0.3333
2-3-00,51.1%,24.4%,24.4%,0.2667
2-10-00,41.9%,30.2%,27.9%,0.1395
2-17-00,27.3%,48.5%,24.2%,0.0303
2-24-00,41.4%,27.6%,31.0%,0.1035
3-2-00,36.7%,40.0%,23.3%,0.1334
3-8-00,58.3%,25.0%,16.7%,0.4166
3-16-00,50.0%,23.3%,26.7%,0.2333
3-23-00,65.7%,14.3%,20.0%,0.4571
3-30-00,38.9%,11.1%,50.0%,-0.1111
4-6-00,45.8%,33.3%,20.8%,0.25
4-13-00,51.9%,18.5%,29.6%,0.2222
4-20-00,63.7%,13.7%,22.6%,0.4118
4-27-00,61.3%,24.2%,14.5%,0.4677
5-4-00,34.8%,30.4%,34.8%,0
5-11-00,30.2%,44.2%,25.6%,0.0465
5-18-00,35.3%,23.5%,41.2%,-0.0589
5-25-00,34.9%,28.6%,36.5%,-0.0159
6-1-00,41.7%,20.8%,37.5%,0.0417
6-8-00,61.5%,15.4%,23.1%,0.3846
6-15-00,43.8%,37.5%,18.8%,0.25
6-22-00,26.7%,33.3%,40.0%,-0.1333
7-6-00,56.1%,28.1%,15.9%,0.4025
7-13-00,65.0%,15.0%,20.0%,0.45
7-20-00,66.7%,21.3%,12.0%,0.5467
7-27-00,42.9%,37.1%,20.0%,0.2286
8-3-00,41.3%,34.8%,23.9%,0.1739
8-10-00,54.1%,34.4%,11.5%,0.4262
8-17-00,59.4%,21.9%,18.8%,0.4063
8-23-00,57.7%,19.2%,23.1%,0.3461
8-31-00,55.9%,26.5%,17.7%,0.3823
9-7-00,62.5%,29.2%,8.3%,0.5417
9-14-00,41.2%,35.3%,23.5%,0.1765
9-21-00,43.8%,37.5%,18.8%,0.25
9-28-00,53.3%,40.0%,6.7%,0.4666
10-5-00,41.9%,32.3%,25.8%,0.1613
10-12-00,41.5%,26.8%,31.7%,0.0975
10-19-00,48.9%,26.7%,24.4%,0.2445
10-26-00,64.1%,18.0%,18.0%,0.4615
11-2-00,51.6%,25.8%,22.6%,0.2903
11-9-00,62.9%,28.6%,8.6%,0.5429
11-16-00,45.8%,37.5%,16.7%,0.2916
11-23-00,36.5%,27.0%,36.5%,0
11-30-00,60.4%,22.9%,16.7%,0.4375
12-7-00,47.1%,15.7%,37.3%,0.0981
12-14-00,59.6%,7.7%,32.7%,0.2693
12-21-00,31.1%,17.8%,51.1%,-0.2
12-28-00,40.0%,28.0%,32.0%,0.08
1-4-01,42.6%,33.3%,24.1%,0.1852
1-11-01,35.7%,21.4%,42.9%,-0.0715
1-18-01,36.6%,39.0%,24.4%,0.122
1-25-01,49.2%,24.6%,26.2%,0.2308
2-1-01,50.0%,30.8%,19.2%,0.3077
2-8-01,55.6%,30.0%,14.4%,0.4112
2-15-01,30.4%,47.8%,21.7%,0.0869
2-22-01,26.3%,35.1%,38.6%,-0.1228
3-1-01,46.0%,20.3%,33.8%,0.1217
3-8-01,31.6%,36.7%,31.6%,0
3-15-01,30.9%,32.7%,36.4%,-0.0545
3-22-01,27.8%,25.0%,47.2%,-0.1944
3-29-01,37.3%,35.3%,27.5%,0.098
4-5-01,35.1%,26.1%,38.7%,-0.036
4-12-01,30.3%,28.8%,40.9%,-0.1061
4-19-01,43.8%,25.0%,31.3%,0.125
4-26-01,46.6%,22.4%,31.0%,0.1552
5-3-01,63.5%,14.9%,21.6%,0.4189
5-10-01,53.3%,28.9%,17.8%,0.3555
5-17-01,51.8%,29.4%,18.8%,0.3294
5-24-01,61.9%,21.4%,16.7%,0.4523
5-31-01,49.4%,22.1%,28.6%,0.2078
6-7-01,42.6%,31.9%,25.5%,0.1702
6-14-01,30.5%,47.5%,22.0%,0.0848
6-21-01,33.3%,43.3%,23.3%,0.1
6-28-01,30.4%,36.7%,32.9%,-0.0253
7-5-01,40.7%,40.7%,18.5%,0.2222
7-12-01,25.3%,38.5%,36.3%,-0.1099
7-19-01,50.0%,34.8%,15.2%,0.3478
7-26-01,29.5%,32.4%,38.1%,-0.0858
8-2-01,36.4%,27.3%,36.4%,0
8-9-01,34.9%,37.4%,27.7%,0.0723
8-16-01,35.4%,27.1%,37.5%,-0.0208
8-23-01,34.5%,34.5%,31.0%,0.0345
8-30-01,31.4%,45.7%,22.9%,0.0857
9-6-01,30.3%,36.0%,33.7%,-0.0337
9-13-01,26.7%,36.7%,36.7%,-0.1
9-20-01,31.1%,24.3%,44.6%,-0.1351
9-27-01,51.1%,26.7%,22.2%,0.2889
10-4-01,51.2%,19.5%,29.3%,0.2195
10-11-01,47.4%,24.6%,28.1%,0.193
10-18-01,60.6%,18.3%,21.1%,0.3943
10-25-01,55.9%,26.5%,17.7%,0.3823
11-1-01,35.0%,31.7%,33.3%,0.0167
11-8-01,34.6%,23.1%,42.3%,-0.0769
11-15-01,45.5%,21.2%,33.3%,0.1212
11-22-01,58.3%,16.7%,25.0%,0.3333
11-29-01,69.3%,10.7%,20.0%,0.4933
12-6-01,59.2%,16.3%,24.5%,0.3469
12-13-01,61.4%,24.6%,14.0%,0.4736
12-20-01,52.5%,21.3%,26.2%,0.2623
12-27-01,57.7%,15.4%,26.9%,0.3077
1-3-02,51.1%,24.4%,24.4%,0.2667
1-10-02,54.8%,23.3%,21.9%,0.3287
1-17-02,29.6%,40.9%,29.6%,0
1-24-02,34.7%,34.7%,30.6%,0.0408
1-31-02,45.5%,31.8%,22.7%,0.2272
2-7-02,37.5%,39.6%,22.9%,0.1457
2-14-02,45.2%,38.7%,16.1%,0.2903
2-21-02,36.4%,38.2%,25.5%,0.1091
2-28-02,44.4%,35.2%,20.4%,0.2407
3-7-02,53.3%,31.1%,15.6%,0.3778
3-14-02,56.5%,29.0%,14.5%,0.4193
3-21-02,53.2%,35.5%,11.3%,0.4194
3-28-02,51.2%,25.6%,23.3%,0.279
4-4-02,40.5%,39.3%,20.2%,0.2024
4-11-02,28.2%,38.5%,33.3%,-0.0512
4-18-02,40.2%,36.6%,23.2%,0.1703
4-25-02,36.7%,40.0%,23.3%,0.1334
5-2-02,27.0%,39.6%,33.3%,-0.063
5-9-02,30.3%,29.0%,40.8%,-0.1053
5-16-02,36.8%,34.9%,28.3%,0.0849
5-23-02,26.2%,33.3%,40.5%,-0.1429
5-29-02,28.3%,31.5%,40.2%,-0.1196
6-6-02,32.8%,27.9%,39.3%,-0.0655
6-13-02,31.8%,34.6%,33.6%,-0.0182
6-20-02,45.7%,28.6%,25.7%,0.2
6-27-02,31.0%,23.0%,46.0%,-0.1505
7-3-02,26.6%,26.6%,46.9%,-0.2032
7-11-02,35.1%,22.7%,42.3%,-0.0722
7-18-02,26.3%,20.0%,53.8%,-0.275
7-25-02,27.9%,23.3%,48.8%,-0.2093
8-1-02,34.2%,34.2%,31.6%,0.0263
8-8-02,37.7%,23.0%,39.3%,-0.0164
8-15-02,37.9%,20.7%,41.4%,-0.0345
8-22-02,43.8%,16.7%,39.6%,0.0417
8-29-02,50.0%,21.0%,29.0%,0.2097
9-5-02,31.5%,18.5%,50.0%,-0.1852
9-12-02,38.4%,24.7%,37.0%,0.0137
9-19-02,33.8%,23.0%,43.2%,-0.0946
9-26-02,24.5%,28.4%,47.1%,-0.2255
10-3-02,35.2%,16.9%,47.9%,-0.1268
10-10-02,28.9%,16.4%,54.8%,-0.2596
10-17-02,39.5%,21.1%,39.5%,0
10-24-02,44.6%,21.7%,33.7%,0.1085
10-31-02,51.5%,20.6%,27.9%,0.2353
11-7-02,50.0%,23.7%,26.3%,0.2368
11-14-02,48.7%,18.9%,32.4%,0.1622
11-21-02,50.6%,28.1%,21.4%,0.2921
11-28-02,51.1%,17.0%,31.9%,0.1915
12-5-02,52.9%,29.4%,17.7%,0.3529
12-12-02,41.4%,34.5%,24.1%,0.1724
12-19-02,42.9%,27.1%,30.0%,0.1286
12-26-02,40.0%,28.0%,32.0%,0.08
1-2-03,32.4%,29.7%,37.8%,-0.0541
1-9-03,38.1%,19.1%,42.9%,-0.0476
1-16-03,29.2%,41.7%,29.2%,0
1-23-03,25.0%,31.8%,43.2%,-0.1818
1-30-03,25.5%,26.6%,47.9%,-0.2234
2-6-03,22.9%,51.4%,25.7%,-0.0285
2-13-03,21.9%,40.0%,38.1%,-0.162
2-20-03,21.1%,21.1%,57.9%,-0.3684
2-27-03,26.0%,26.8%,47.2%,-0.2113
3-6-03,33.3%,27.3%,39.4%,-0.0606
3-13-03,34.3%,14.3%,51.4%,-0.1714
3-20-03,42.9%,19.1%,38.1%,0.0476
3-27-03,39.4%,27.9%,32.7%,0.0673
4-3-03,32.4%,29.4%,38.2%,-0.0589
4-10-03,38.5%,30.8%,30.8%,0.0769
4-17-03,46.3%,22.2%,31.5%,0.1482
4-24-03,63.0%,18.0%,19.0%,0.44
5-1-03,48.6%,25.7%,25.7%,0.2286
5-8-03,52.8%,28.8%,18.4%,0.344
5-15-03,62.8%,20.9%,16.3%,0.4651
5-22-03,38.5%,26.0%,35.6%,0.0288
5-29-03,62.9%,22.9%,14.3%,0.4857
6-5-03,52.0%,28.8%,19.2%,0.328
6-12-03,50.0%,20.8%,29.2%,0.2083
6-19-03,56.4%,7.7%,35.9%,0.2051
6-26-03,71.4%,20.0%,8.6%,0.6286
7-3-03,41.2%,23.5%,35.3%,0.0589
7-10-03,43.2%,25.7%,31.1%,0.1216
7-17-03,51.3%,20.2%,28.6%,0.2269
7-24-03,52.0%,17.3%,30.7%,0.2133
7-31-03,51.5%,32.3%,16.2%,0.3539
8-7-03,45.5%,22.1%,32.5%,0.1298
8-14-03,50.6%,25.8%,23.6%,0.2696
8-21-03,63.0%,18.5%,18.5%,0.4444
8-28-03,56.7%,20.6%,22.7%,0.3402
9-4-03,62.3%,21.3%,16.4%,0.4591
9-11-03,58.1%,24.4%,17.4%,0.407
9-18-03,62.8%,17.7%,19.6%,0.4314
9-25-03,57.3%,20.4%,22.3%,0.3495
10-2-03,50.0%,21.4%,28.6%,0.2143
10-9-03,57.6%,19.2%,23.2%,0.3435
10-16-03,60.3%,25.9%,13.8%,0.4655
10-23-03,52.8%,30.6%,16.7%,0.3611
10-30-03,57.8%,23.4%,18.8%,0.3906
11-6-03,57.6%,25.8%,16.7%,0.4091
11-13-03,53.3%,32.2%,14.4%,0.3889
11-20-03,53.2%,25.8%,21.0%,0.3226
11-27-03,60.4%,18.9%,20.8%,0.3963
12-4-03,69.4%,16.2%,14.4%,0.5496
12-11-03,55.3%,23.7%,21.1%,0.3421
12-18-03,60.2%,20.4%,19.4%,0.4081
12-26-03,65.5%,17.2%,17.2%,0.4828
1-1-04,62.4%,24.1%,13.5%,0.4893
1-8-04,67.2%,14.9%,17.9%,0.4925
1-15-04,66.3%,23.6%,10.1%,0.5618
1-22-04,69.5%,17.1%,13.4%,0.561
1-29-04,56.9%,28.1%,15.0%,0.4188
2-5-04,50.9%,27.3%,21.8%,0.2909
2-12-04,56.1%,29.3%,14.6%,0.4147
2-19-04,56.5%,22.6%,21.0%,0.3548
2-26-04,41.6%,27.9%,30.5%,0.1105
3-4-04,47.8%,39.1%,13.0%,0.3479
3-11-04,41.3%,25.2%,33.6%,0.0774
3-18-04,38.6%,35.1%,26.3%,0.1228
3-25-04,31.5%,25.9%,42.6%,-0.1111
4-1-04,55.2%,22.4%,22.4%,0.3276
4-8-04,58.8%,21.0%,20.3%,0.3851
4-15-04,63.8%,22.5%,13.8%,0.5
4-22-04,50.0%,27.5%,22.5%,0.275
4-29-04,50.0%,28.8%,21.2%,0.2879
5-6-04,39.0%,33.9%,27.1%,0.1186
5-13-04,32.9%,23.7%,43.4%,-0.1053
5-20-04,36.7%,23.3%,40.0%,-0.0333
5-27-04,36.1%,23.6%,40.3%,-0.0417
6-3-04,33.3%,40.5%,26.2%,0.0714
6-10-04,55.3%,29.0%,15.8%,0.3947
6-17-04,41.4%,30.5%,28.1%,0.1328
6-24-04,56.4%,20.5%,23.1%,0.3333
7-1-04,57.0%,27.3%,15.8%,0.4121
7-8-04,55.1%,23.5%,21.4%,0.3367
7-15-04,47.4%,29.0%,23.7%,0.2369
7-22-04,35.7%,40.5%,23.8%,0.119
7-29-04,34.0%,30.0%,36.0%,-0.02
8-5-04,31.0%,35.2%,33.8%,-0.0281
8-12-04,38.6%,21.4%,40.0%,-0.0143
8-19-04,34.9%,30.2%,34.9%,0
8-26-04,41.5%,33.1%,25.4%,0.1611
9-2-04,41.5%,30.2%,28.3%,0.1321
9-9-04,50.5%,25.7%,23.8%,0.2674
9-16-04,45.5%,22.7%,31.8%,0.1363
9-23-04,51.2%,22.0%,26.8%,0.244
9-30-04,41.1%,19.6%,39.3%,0.0178
10-7-04,56.9%,23.4%,19.7%,0.3722
10-14-04,44.7%,27.1%,28.2%,0.1647
10-21-04,42.5%,28.8%,28.8%,0.1372
10-28-04,42.3%,26.0%,31.7%,0.1058
11-4-04,57.1%,20.0%,22.9%,0.3428
11-11-04,62.5%,15.9%,21.6%,0.4091
11-18-04,64.1%,13.5%,22.4%,0.4166
11-24-04,49.5%,23.7%,26.8%,0.2268
12-2-04,56.8%,17.8%,25.4%,0.3135
12-9-04,51.4%,23.4%,25.2%,0.2612
12-16-04,52.5%,28.3%,19.2%,0.3334
12-23-04,60.2%,21.6%,18.2%,0.4205
12-30-04,57.7%,24.8%,17.5%,0.4014
1-6-05,38.1%,27.4%,34.5%,0.0358
1-13-05,34.0%,26.1%,39.9%,-0.0588
1-20-05,33.7%,32.7%,33.7%,0
1-27-05,26.4%,37.1%,36.4%,-0.1
2-3-05,41.7%,33.3%,25.0%,0.1667
2-10-05,43.8%,33.3%,22.9%,0.2083
2-17-05,36.4%,33.8%,29.9%,0.0649
2-24-05,31.8%,36.4%,31.8%,0
3-3-05,39.5%,33.3%,27.2%,0.1235
3-10-05,49.7%,25.5%,24.8%,0.2483
3-17-05,32.5%,35.1%,32.5%,0
3-24-05,23.2%,34.8%,41.9%,-0.1871
3-31-05,28.4%,20.6%,51.0%,-0.2255
4-7-05,27.7%,28.4%,43.9%,-0.1613
4-14-05,16.5%,41.8%,41.8%,-0.2528
4-21-05,36.8%,30.3%,32.9%,0.0395
4-28-05,29.8%,35.5%,34.7%,-0.0496
5-5-05,28.6%,26.5%,44.9%,-0.1633
5-12-05,30.5%,33.1%,36.4%,-0.0584
5-19-05,38.92%,32.43%,28.65%,0.1027
5-26-05,44.14%,32.43%,23.42%,0.2072
6-2-05,48.61%,31.94%,19.44%,0.2917
6-9-05,45.98%,34.48%,19.54%,0.2644
6-16-05,48.05%,33.12%,18.83%,0.2922
6-23-05,46.59%,35.23%,18.18%,0.2841
6-30-05,45.89%,24.66%,29.45%,0.1644
7-7-05,43.01%,36.56%,20.43%,0.225807
7-14-05,57.89%,28.07%,14.04%,0.4385
7-21-05,41.18%,31.37%,27.45%,0.1373
7-28-05,57.52%,24.84%,17.65%,0.3987
8-4-05,47.83%,26.09%,26.09%,0.2174
8-11-05,39.74%,31.41%,28.85%,0.1089
8-18-05,29.29%,30.30%,40.40%,-0.1111
8-25-05,36.14%,32.53%,31.33%,0.0481
9-1-05,31.76%,30.59%,37.65%,-0.0589
9-8-05,42.31%,25.00%,32.69%,0.0962
9-15-05,51.43%,20.00%,28.57%,0.2286
9-22-05,39.47%,28.07%,32.46%,0.0701
9-29-05,31.88%,28.99%,39.13%,-0.0725
10-6-05,50.00%,22.58%,27.42%,0.2258
10-13-05,38.96%,12.99%,48.05%,-0.0909
10-20-05,43.11%,20.96%,35.93%,0.0718
10-27-05,32.05%,21.79%,46.15%,-0.141
11-3-05,42.95%,29.49%,27.56%,0.1539
11-10-05,58.62%,18.39%,22.99%,0.3563
11-17-05,53.63%,24.58%,21.79%,0.3184
11-24-05,57.33%,26.67%,16.00%,0.4133
12-1-05,52.47%,24.07%,23.46%,0.2901
12-8-05,49.47%,31.58%,18.95%,0.3052
12-15-05,46.15%,31.73%,22.12%,0.2403
12-22-05,41.03%,30.77%,28.21%,0.1282
12-29-05,37.30%,26.19%,36.51%,0.0079
1-5-06,29.35%,30.43%,40.22%,-0.1087
1-12-06,58.96%,21.97%,19.08%,0.3988
1-19-06,50.00%,24.17%,25.83%,0.2417
1-26-06,30.77%,35.90%,33.33%,-0.0256
2-2-06,44.70%,21.97%,33.33%,0.1137
2-9-06,40.19%,25.23%,34.58%,0.0561
2-16-06,40.18%,24.11%,35.71%,0.0447
2-23-06,43.21%,28.40%,28.40%,0.1481
3-2-06,40.94%,29.92%,29.13%,0.1181
3-9-06,41.21%,28.02%,30.77%,0.1044
3-16-06,46.55%,20.69%,32.76%,0.1379
3-23-06,43.75%,28.75%,27.50%,0.1625
3-30-06,37.21%,30.23%,32.56%,0.0465
4-6-06,47.67%,29.07%,23.26%,0.2441
4-13-06,45.36%,26.80%,27.84%,0.1752
4-20-06,33.73%,25.44%,40.83%,-0.071
4-27-06,42.11%,21.93%,35.96%,0.0615
5-4-06,45.89%,20.55%,33.56%,0.1233
5-11-06,54.90%,17.65%,27.45%,0.2745
5-18-06,39.39%,16.97%,43.64%,-0.0425
5-25-06,33.04%,21.43%,45.54%,-0.125
6-1-06,30.77%,19.23%,50.00%,-0.1923
6-8-06,26.23%,28.69%,45.08%,-0.1885
6-15-06,26.41%,18.61%,54.98%,-0.2857
6-22-06,34.40%,24.00%,41.60%,-0.072
6-29-06,38.60%,21.64%,39.77%,-0.0117
7-6-06,37.70%,19.67%,42.62%,-0.0492
7-13-06,36.50%,24.09%,39.42%,-0.0292
7-20-06,23.85%,18.35%,57.80%,-0.3395
7-27-06,34.88%,22.09%,43.02%,-0.0814
8-3-06,31.46%,21.35%,47.19%,-0.1573
8-10-06,36.59%,21.95%,41.46%,-0.0487
8-17-06,30.53%,33.68%,35.79%,-0.0526
8-24-06,39.35%,23.23%,37.42%,0.0193
8-31-06,41.57%,32.58%,25.84%,0.1573
9-7-06,42.99%,27.10%,29.91%,0.1308
9-14-06,47.95%,13.70%,38.36%,0.0959
9-21-06,47.75%,18.02%,34.23%,0.1352
9-28-06,51.32%,15.79%,32.89%,0.1843
10-5-06,37.78%,15.56%,46.67%,-0.0889
10-12-06,48.98%,13.27%,37.76%,0.1122
10-19-06,54.20%,16.03%,29.77%,0.2443
10-26-06,52.17%,17.39%,30.43%,0.2174
11-2-06,43.75%,19.38%,36.88%,0.0687
11-9-06,50.60%,22.89%,26.51%,0.2409
11-16-06,46.56%,22.90%,30.53%,0.1603
11-23-06,41.94%,16.13%,41.94%,0
11-30-06,40.22%,12.29%,47.49%,-0.0727
12-7-06,38.94%,19.47%,41.59%,-0.0265
12-14-06,41.33%,20.67%,38.00%,0.0333
12-21-06,39.08%,18.39%,42.53%,-0.0345
12-28-06,46.00%,18.00%,36.00%,0.1
1-4-07,49.14%,21.55%,29.31%,0.1983
1-11-07,44.44%,21.30%,34.26%,0.1018
1-18-07,57.78%,15.15%,27.27%,0.3051
1-25-07,39.51%,27.16%,33.33%,0.0618
2-1-07,46.32%,23.16%,30.53%,0.1579
2-8-07,46.15%,23.85%,30.00%,0.1615
2-15-07,47.57%,21.36%,31.07%,0.165
2-22-07,53.85%,23.85%,22.31%,0.3154
3-1-07,36.63%,23.76%,39.60%,-0.0297
3-8-07,35.80%,19.32%,44.89%,-0.0909
3-15-07,32.99%,21.65%,45.36%,-0.1237
3-22-07,43.88%,23.02%,33.09%,0.1079
3-29-07,42.68%,31.71%,25.61%,0.1707
4-5-07,32.26%,27.96%,39.78%,-0.0752
4-12-07,40.85%,21.13%,38.03%,0.0282
4-19-07,46.94%,23.47%,29.59%,0.1735
4-26-07,39.24%,22.78%,37.97%,0.0127
5-3-07,28.57%,17.14%,54.29%,-0.2572
5-10-07,42.86%,14.29%,42.86%,0
5-17-07,38.39%,25.00%,36.61%,0.0178
5-24-07,37.35%,24.10%,38.55%,-0.012
5-31-07,33.33%,21.88%,44.79%,-0.1146
6-7-07,40.59%,16.83%,42.57%,-0.0198
6-14-07,37.30%,19.05%,43.65%,-0.0635
6-21-07,43.16%,23.16%,33.68%,0.0948
6-28-07,39.02%,25.20%,35.77%,0.0325
7-5-07,43.84%,23.29%,32.88%,0.1096
7-12-07,43.64%,26.36%,30.00%,0.1364
7-19-07,41.77%,21.52%,36.71%,0.0506
7-26-07,44.21%,18.95%,36.84%,0.0737
8-2-07,45.88%,14.12%,40.00%,0.0588
8-9-07,45.76%,15.25%,38.98%,0.0678
8-16-07,42.22%,12.22%,45.56%,-0.0334
8-23-07,41.28%,15.60%,43.12%,-0.0184
8-30-07,40.30%,13.43%,46.27%,-0.0597
9-6-07,38.38%,19.19%,42.42%,-0.0404
9-13-07,40.00%,24.71%,35.29%,0.0471
9-20-07,39.24%,29.11%,31.65%,0.0759
9-27-07,49.37%,16.46%,34.18%,0.1519
10-4-07,51.81%,22.89%,25.30%,0.2651
10-11-07,54.64%,19.59%,25.77%,0.2887
10-18-07,41.96%,22.32%,35.71%,0.0625
10-25-07,31.25%,20.54%,48.21%,-0.1696
